id,minority,female,channel_acq,num_past_purch,spent_last_purchase,weeks_since_visit,browsing_minutes,shopping_cart
71,1,1,1,0,0,1,20,0
72,0,0,4,1,141.98,6,9,1
73,0,0,2,0,0,5,5,0
74,0,0,1,0,0,2,6,0
75,0,1,2,6,218.97,4,20,0
76,0,1,2,0,0,1,13,0
77,0,1,4,0,0,3,26,1
78,0,1,2,4,57.99,7,8,0
79,1,0,1,2,51.99,0,4,1
80,1,0,1,0,0,3,1,0
81,0,1,2,2,67.49,0,17,0
82,1,1,1,2,59.49,0,14,1
83,0,1,1,0,0,0,16,0
84,0,1,1,4,62.99,0,7,0
85,0,1,4,1,83.99,5,20,1
86,0,0,1,0,0,6,1,0
87,1,1,1,4,154.98,2,15,0
88,0,0,3,1,68.99,5,10,0
89,0,1,3,0,0,5,19,0
90,0,1,3,2,52.99,0,14,0
91,0,1,3,1,55.99,1,15,0
92,0,1,3,2,139.98,3,15,0
93,0,1,1,1,62.99,4,16,0
94,0,1,2,2,43.99,1,22,0
95,0,1,3,1,155.98,5,16,0
96,0,1,3,1,56.99,1,14,0
97,1,1,1,5,63.99,4,21,0
98,0,1,1,0,0,0,21,1
99,0,0,3,0,0,7,14,0
100,1,0,1,2,55.99,0,3,1
101,1,1,1,8,86.98,0,20,0
102,0,1,1,0,0,0,13,0
103,1,0,1,0,0,6,4,1
104,0,1,4,5,172.47,1,18,1
105,0,1,3,0,0,2,14,0
106,0,1,2,9,46.99,0,10,0
107,0,1,3,5,134.97,5,15,0
108,0,0,1,2,59.99,2,8,0
109,0,0,1,0,0,4,5,0
110,1,1,2,0,0,1,16,0
111,1,0,5,4,57.99,0,1,0
112,0,1,1,1,56.49,2,18,0
113,1,0,1,0,0,2,2,0
114,0,0,4,2,56.99,2,15,0
115,0,1,1,3,64.49,1,16,1
116,0,0,4,0,0,1,1,0
117,0,1,1,1,65.49,5,24,0
118,0,1,2,1,61.99,5,21,0
119,0,1,3,0,0,5,19,0
120,0,0,2,4,61.49,5,10,0
121,1,0,1,1,236.97,3,7,1
122,0,1,2,0,0,5,21,0
123,0,1,3,0,0,0,16,0
124,0,0,2,2,51.99,0,12,0
125,0,0,1,2,54.99,3,15,0
126,0,1,1,4,135.98,2,16,0
127,0,1,3,1,61.49,1,15,1
128,0,1,1,4,55.99,0,15,0
129,0,1,2,8,54.99,1,16,0
130,1,0,1,0,0,1,5,0
131,1,1,1,12,52.99,1,22,0
132,0,1,2,2,50.99,5,18,0
133,0,1,1,4,44.99,1,16,0
134,0,1,3,0,0,7,11,1
135,1,1,1,4,166.47,5,18,0
136,0,0,3,2,63.99,4,11,0
137,0,1,2,1,66.99,3,20,0
138,0,1,3,1,51.49,1,11,0
139,0,0,1,1,154.47,4,4,0
140,0,0,2,1,230.97,5,1,0
141,0,0,2,5,64.99,5,20,0
142,0,0,2,3,55.99,0,9,0
143,0,0,2,0,0,0,2,1
144,0,1,2,2,66.99,1,19,0
145,0,1,1,5,77.49,1,12,1
146,0,1,3,1,46.99,6,19,1
147,0,1,1,0,0,4,19,0
148,0,1,3,0,0,3,12,1
149,0,1,3,1,56.49,2,19,0
150,0,1,3,3,75.98,2,14,1
151,0,0,1,0,0,2,18,0
152,1,0,1,0,0,5,5,1
153,1,0,1,0,0,2,3,0
154,0,1,4,0,0,2,17,1
155,0,1,2,1,60.99,2,17,0
156,0,1,3,1,129.98,5,25,1
157,1,0,1,0,0,5,7,0
158,0,0,1,2,107.98,4,9,1
159,1,0,1,0,0,1,10,1
160,0,0,2,7,128.98,4,7,0
161,0,1,2,1,62.49,7,14,1
162,0,1,2,4,46.99,5,16,0
163,0,1,3,3,49.99,1,23,1
164,0,1,3,0,0,6,26,0
165,0,1,2,2,65.99,4,22,0
166,0,1,1,0,0,1,17,0
167,0,0,5,0,0,6,11,0
168,0,0,1,1,72.99,3,7,0
169,0,0,4,0,0,1,14,0
170,1,1,1,4,97.98,1,14,0
171,0,1,2,4,75.99,3,25,1
172,1,1,1,1,49.99,3,10,1
173,0,1,2,6,125.97,5,23,0
174,1,1,1,3,80.49,0,20,0
175,0,1,3,4,64.49,7,16,0
176,0,0,5,4,83.49,7,11,1
177,0,0,1,1,68.99,4,10,0
178,0,0,1,2,62.99,5,1,0
179,0,1,2,4,48.99,4,21,0
180,0,0,2,0,0,1,5,0
181,0,1,3,3,63.99,5,8,0
182,0,0,3,0,0,7,8,1
183,0,1,1,0,0,2,21,0
184,0,1,3,0,0,6,19,0
185,0,0,3,1,170.97,1,6,1
186,0,1,3,1,70.49,6,21,0
187,1,1,1,4,57.99,5,16,1
188,0,1,1,1,58.49,4,19,0
189,0,1,3,8,52.99,6,22,0
190,0,0,1,5,203.97,4,1,1
191,0,0,3,0,0,5,6,0
192,1,1,1,2,42.49,5,27,0
193,0,1,3,11,59.99,1,23,0
194,0,1,4,2,215.97,1,22,1
195,1,1,1,1,68.99,4,26,0
196,0,1,2,1,56.99,5,23,0
197,0,1,3,7,57.99,3,22,0
198,0,1,1,0,0,0,23,0
199,0,0,2,1,58.49,4,13,1
200,0,1,3,1,55.99,4,9,0
201,0,0,2,0,0,0,3,0
202,0,0,3,0,0,0,18,0
203,0,0,2,0,0,7,10,1
204,0,0,1,0,0,6,2,0
205,0,1,3,1,65.99,0,8,0
206,0,0,2,4,49.99,2,3,0
207,0,1,3,2,56.99,3,15,1
208,0,0,1,1,50.49,2,1,1
209,0,0,2,1,95.98,5,14,0
210,0,1,2,0,0,3,13,0
211,1,0,1,3,131.98,5,14,1
212,1,1,1,2,55.99,0,25,1
213,0,1,1,1,70.49,6,19,0
214,1,1,1,4,65.99,7,16,0
215,0,1,2,1,61.99,2,18,1
216,0,0,4,1,106.98,2,3,0
217,1,1,1,0,0,5,23,0
218,0,0,1,3,53.99,5,2,1
219,0,0,2,1,58.49,1,8,0
220,0,1,3,0,0,7,11,1
221,0,0,1,8,124.98,0,1,0
222,1,1,1,4,61.99,4,13,0
223,0,0,2,0,0,1,1,0
224,0,1,3,1,68.49,2,20,0
225,0,1,1,1,67.99,7,23,0
226,0,0,2,0,0,2,2,0
227,1,0,1,0,0,4,15,0
228,0,0,2,0,0,3,2,0
229,0,1,3,0,0,2,14,1
230,0,1,3,6,68.99,2,21,0
231,0,1,2,0,0,4,23,1
232,0,1,1,0,0,4,15,0
233,0,0,1,1,125.98,6,9,1
234,0,1,4,1,71.99,2,16,0
235,0,1,3,0,0,2,12,0
236,0,0,1,1,49.99,1,15,0
237,0,1,3,2,102.98,6,15,0
238,0,1,2,1,73.99,0,13,0
239,0,0,2,4,59.49,5,1,0
240,1,1,2,4,44.99,6,15,0
241,0,1,1,0,0,4,26,1
242,0,1,3,9,70.49,1,19,1
243,1,1,2,4,59.99,5,16,0
244,0,0,1,1,74.99,6,9,0
245,0,1,3,3,61.99,2,29,1
246,0,1,3,0,0,5,23,0
247,0,1,1,4,119.98,5,26,0
248,0,0,1,0,0,1,4,0
249,0,0,1,3,68.49,0,10,1
250,0,1,5,1,59.99,6,11,0
251,0,1,2,5,59.49,3,20,0
252,0,1,1,0,0,7,19,0
253,0,0,1,1,159.98,1,13,0
254,0,1,2,1,130.98,3,12,0
255,0,1,2,0,0,0,21,1
256,0,1,2,4,72.99,4,17,0
257,0,1,1,0,0,0,14,0
258,1,1,1,0,0,4,18,1
259,0,1,3,1,62.49,0,15,0
260,0,1,1,3,45.49,5,18,0
261,0,0,1,2,105.98,5,2,0
262,0,1,1,0,0,2,16,0
263,0,0,2,0,0,1,16,0
264,1,1,1,3,59.49,1,16,1
265,1,1,1,0,0,6,17,0
266,1,1,1,0,0,0,15,0
267,1,1,3,3,170.97,6,26,1
268,0,1,3,7,65.99,2,13,0
269,0,0,1,1,66.99,6,18,0
270,0,0,2,1,78.49,5,10,0
271,1,0,3,2,182.97,0,4,1
272,0,0,1,0,0,7,7,0
273,0,0,1,2,147.98,1,11,1
274,0,1,2,1,50.99,5,23,0
275,0,1,3,1,53.49,5,23,0
276,0,0,2,4,58.49,7,9,1
277,1,0,1,7,57.99,0,8,1
278,0,1,2,4,61.99,3,19,0
279,1,0,1,9,54.49,2,13,0
280,0,0,2,0,0,4,8,0
281,0,1,1,1,67.99,4,17,0
282,0,1,3,3,60.99,3,17,1
283,0,1,2,0,0,3,13,0
284,1,1,1,0,0,6,22,0
285,0,1,4,0,0,1,14,0
286,0,1,3,0,0,3,18,0
287,0,1,3,0,0,6,21,0
288,0,0,2,0,0,7,16,0
289,0,1,3,2,52.99,1,24,0
290,0,0,1,4,73.49,6,2,0
291,0,1,1,3,71.49,4,24,1
292,1,0,1,1,58.49,6,15,0
293,1,1,2,1,71.49,6,18,0
294,0,1,3,0,0,0,24,0
295,0,0,3,1,47.49,0,4,1
296,0,1,3,0,0,1,15,0
297,1,0,1,3,56.99,6,10,1
298,0,1,1,2,50.49,2,27,0
299,0,0,2,3,68.99,3,5,1
300,0,0,3,3,56.99,1,13,1
301,0,0,5,0,0,3,1,0
302,1,1,1,0,0,0,12,0
303,0,0,1,2,49.99,2,9,1
304,1,1,1,0,0,7,23,0
305,0,0,3,0,0,6,9,0
306,0,1,3,0,0,1,21,0
307,0,0,3,1,63.99,1,5,0
308,0,1,3,1,64.49,2,16,1
309,0,0,3,3,56.99,4,7,0
310,0,1,3,0,0,0,11,1
311,0,1,3,0,0,4,17,0
312,0,1,3,0,0,1,15,0
313,0,1,2,5,69.49,6,18,0
314,0,1,3,1,64.49,5,24,0
315,1,1,5,1,58.99,2,22,0
316,0,1,1,0,0,6,18,1
317,1,1,1,0,0,4,17,0
318,0,1,3,3,107.98,5,19,0
319,0,1,3,0,0,4,12,0
320,0,1,1,0,0,4,17,0
321,0,0,2,6,225.96,5,1,0
322,0,0,1,0,0,4,12,1
323,0,0,1,0,0,5,7,0
324,0,1,1,2,43.99,0,20,0
325,1,1,1,0,0,1,11,0
326,0,1,3,0,0,2,13,1
327,1,1,1,6,54.99,0,22,0
328,1,1,2,1,67.99,4,12,1
329,1,0,1,0,0,0,18,0
330,0,0,2,0,0,6,15,0
331,0,0,1,5,66.49,1,7,1
332,0,0,1,1,199.47,5,13,1
333,1,1,1,2,57.49,1,9,0
334,0,1,3,0,0,0,19,1
335,0,1,1,2,45.99,2,19,0
336,0,0,1,10,52.99,7,19,1
337,0,1,2,8,172.47,1,21,0
338,1,1,1,3,229.47,0,10,0
339,0,0,3,0,0,1,12,1
340,0,0,4,5,106.98,2,16,1
341,0,1,3,3,56.49,6,20,0
342,0,0,2,0,0,0,6,0
343,0,1,2,11,46.99,4,24,0
344,0,1,3,0,0,5,17,0
345,0,1,1,4,60.99,1,20,0
346,0,1,3,1,125.97,7,13,0
347,0,1,1,1,73.49,1,5,0
348,0,0,4,3,48.49,1,20,1
349,0,0,4,2,173.97,4,13,0
350,1,0,1,0,0,0,1,1
351,0,1,2,2,133.98,1,19,1
352,0,1,1,9,63.99,4,18,0
353,1,1,1,2,53.49,3,12,0
354,0,0,2,1,129.98,2,8,0
355,0,1,3,3,141.98,3,18,0
356,0,0,1,1,67.49,5,9,1
357,1,1,2,2,49.49,2,18,0
358,1,0,3,0,0,4,6,1
359,0,0,2,1,71.98,0,13,1
360,0,1,1,1,200.97,2,13,0
361,0,1,2,4,74.99,2,23,0
362,0,1,3,1,51.99,4,21,0
363,0,1,3,1,147.98,1,19,0
364,0,0,3,0,0,6,17,0
365,0,0,2,1,62.99,6,2,0
366,0,1,3,1,87.99,0,16,1
367,1,1,1,1,153.98,3,10,1
368,1,1,1,1,71.49,6,16,0
369,0,1,3,1,68.99,3,11,0
370,0,1,1,3,227.97,7,20,0
371,0,0,2,1,78.99,3,5,1
372,0,1,5,2,65.99,2,20,0
373,1,1,1,1,148.47,4,11,0
374,1,0,1,1,72.99,6,11,1
375,0,0,3,1,60.49,3,3,0
376,0,1,3,5,66.49,2,24,0
377,1,0,1,5,188.97,6,5,0
378,0,1,3,0,0,6,20,0
379,0,1,3,0,0,1,25,0
380,0,1,2,2,61.99,3,15,0
381,1,0,1,1,48.49,1,2,0
382,1,1,3,6,80.99,0,17,0
383,0,0,2,1,156.98,4,3,1
384,0,1,1,0,0,4,20,0
385,0,1,1,5,60.49,6,15,0
386,0,1,3,1,78.99,1,28,1
387,1,1,1,0,0,3,27,0
388,0,1,3,2,46.99,6,19,0
389,0,1,1,1,83.49,4,16,0
390,0,1,3,2,89.98,1,22,0
391,0,1,2,0,0,5,12,0
392,0,0,5,2,167.97,4,4,1
393,0,1,1,0,0,5,21,0
394,0,1,3,6,55.99,0,19,0
395,0,1,3,2,117.98,5,21,1
396,0,0,4,4,101.98,5,6,0
397,0,1,1,7,77.49,6,18,0
398,0,0,3,2,73.99,2,5,0
399,1,1,5,0,0,3,25,0
400,0,0,2,0,0,5,7,0
401,0,1,1,2,68.49,0,23,0
402,0,0,2,0,0,7,10,0
403,0,0,1,1,41.49,2,16,0
404,0,1,3,2,64.99,1,11,0
405,0,0,1,0,0,2,12,0
406,1,0,1,5,46.99,1,1,1
407,1,1,3,2,72.99,5,30,0
408,0,1,1,5,71.99,7,21,0
409,0,1,3,1,190.47,2,25,0
410,0,1,3,0,0,7,13,0
411,0,1,2,0,0,5,22,0
412,0,0,1,8,146.97,3,10,0
413,1,1,1,0,0,5,11,0
414,1,0,1,0,0,0,8,1
415,0,0,1,0,0,7,14,0
416,0,1,2,1,48.49,3,27,0
417,0,1,5,9,66.49,3,25,1
418,0,1,4,0,0,2,11,0
419,0,1,3,5,60.99,4,19,0
420,0,1,3,1,68.99,4,18,0
421,0,0,3,0,0,0,4,1
422,0,1,2,1,61.99,4,25,0
423,0,1,3,1,67.99,4,13,0
424,0,1,2,5,57.49,3,21,1
425,0,1,4,2,191.97,2,9,0
426,0,1,3,3,233.97,0,17,1
427,1,1,1,1,43.99,2,9,0
428,0,1,5,0,0,4,11,1
429,0,0,3,0,0,2,16,1
430,0,0,3,0,0,0,9,0
431,0,1,1,1,59.49,4,10,0
432,0,0,1,1,58.99,0,11,0
433,0,1,4,0,0,2,24,0
434,0,0,1,0,0,4,1,0
435,0,1,1,1,70.99,3,25,0
436,0,1,2,3,155.98,6,24,1
437,0,1,2,5,148.98,2,10,1
438,1,1,1,1,52.99,2,21,0
439,0,0,1,0,0,7,9,1
440,1,1,3,0,0,4,20,0
441,0,1,1,1,74.99,2,15,1
442,1,0,1,0,0,5,12,0
443,0,0,2,1,111.98,1,8,0
444,0,0,1,1,69.49,4,2,1
445,0,0,3,0,0,2,1,0
446,1,0,1,0,0,3,5,1
447,0,1,2,0,0,4,20,0
448,0,0,2,0,0,0,16,0
449,0,1,3,0,0,4,13,0
450,0,1,2,8,65.99,2,17,1
451,0,1,2,1,55.99,3,13,1
452,0,0,1,0,0,0,2,1
453,0,0,3,2,34.49,3,9,0
454,0,1,2,0,0,5,13,0
455,0,1,4,4,69.49,5,16,1
456,1,0,1,4,140.98,4,5,1
457,0,0,2,2,72.49,4,4,0
458,0,1,1,0,0,7,16,0
459,0,0,5,0,0,4,15,1
460,0,1,1,0,0,2,23,0
461,1,1,1,2,141.98,0,22,0
462,0,0,2,1,65.99,5,2,0
463,0,1,3,2,60.99,6,16,1
464,1,1,1,4,55.99,1,7,0
465,1,1,1,0,0,0,19,1
466,0,0,1,10,46.49,4,15,0
467,1,1,3,1,47.99,7,18,1
468,0,1,3,0,0,1,29,1
469,1,0,1,2,110.98,1,4,1
470,0,1,4,4,64.99,5,22,0
471,0,1,3,0,0,0,23,0
472,0,1,1,4,72.99,7,19,0
473,0,0,3,6,61.99,5,11,1
474,1,1,1,1,52.49,0,17,0
475,0,1,3,1,55.99,1,24,0
476,0,1,3,0,0,3,16,0
477,0,0,1,0,0,4,6,1
478,0,1,2,0,0,6,18,0
479,0,0,3,13,50.49,0,8,0
480,0,1,1,2,68.99,5,14,0
481,0,1,3,13,93.98,1,19,0
482,0,1,3,4,62.99,6,13,1
483,0,1,3,7,121.47,0,17,0
484,0,0,1,2,125.98,6,13,0
485,0,1,1,0,0,1,18,0
486,0,1,1,3,73.99,4,25,0
487,1,0,3,3,64.99,5,2,1
488,0,0,2,2,77.99,0,16,1
489,0,0,1,0,0,4,1,1
490,1,1,1,0,0,2,23,1
491,0,1,2,5,79.99,0,22,0
492,1,1,1,8,191.97,2,21,0
493,0,1,1,12,62.99,7,14,0
494,0,0,3,5,49.99,5,13,0
495,1,1,1,2,99.98,7,20,0
496,0,0,1,3,176.97,0,9,1
497,1,1,1,0,0,0,16,0
498,1,1,3,0,0,5,26,0
499,0,0,3,0,0,0,2,0
500,0,1,2,3,42.49,2,16,1
501,1,0,1,9,72.99,5,8,1
502,0,1,3,2,61.49,4,20,1
503,0,0,3,3,57.99,3,21,1
504,0,1,2,0,0,4,24,0
505,1,1,1,1,70.49,3,16,1
506,0,1,3,3,65.99,1,25,0
507,0,0,3,3,116.97,2,14,0
508,0,0,1,5,111.98,1,10,0
509,0,0,2,2,87.98,1,6,0
510,0,0,4,0,0,6,1,1
511,1,1,1,0,0,3,17,0
512,0,0,1,0,0,2,6,1
513,0,1,2,4,59.99,2,21,0
514,0,1,5,5,72.99,4,14,0
515,0,0,5,3,63.99,4,4,1
516,0,1,3,2,66.99,5,22,0
517,0,1,2,0,0,0,18,1
518,0,1,3,8,67.99,6,27,1
519,1,0,1,0,0,7,6,0
520,0,0,3,2,159.98,5,3,1
521,0,1,3,0,0,0,16,1
522,0,1,1,1,79.98,0,22,0
523,0,1,2,1,99.98,6,15,1
524,0,0,3,0,0,0,9,0
525,0,1,1,0,0,4,23,1
526,0,1,1,0,0,0,12,0
527,0,1,3,2,67.99,4,18,0
528,0,0,1,6,131.98,4,3,0
529,0,1,2,1,59.49,6,12,1
530,0,1,3,3,54.99,4,24,0
531,0,0,1,6,130.47,6,12,0
532,0,1,2,1,121.98,2,15,0
533,0,0,2,0,0,7,21,0
534,1,0,2,6,61.99,0,12,1
535,0,1,2,3,56.99,1,22,0
536,0,1,3,0,0,2,24,1
537,1,0,1,2,59.99,7,4,1
538,0,1,3,1,60.49,0,16,0
539,0,1,3,0,0,0,13,0
540,0,1,3,1,149.98,6,21,0
541,1,0,3,3,67.99,5,12,1
542,0,1,3,4,59.99,4,18,0
543,0,1,2,1,58.99,1,25,0
544,0,1,3,4,38.99,0,14,0
545,0,1,3,1,60.99,5,30,0
546,0,0,2,3,54.99,1,6,1
547,1,1,1,0,0,5,11,0
548,0,1,3,1,72.49,0,16,0
549,0,1,2,1,59.49,5,17,0
550,0,0,1,1,68.49,4,2,0
551,1,0,4,0,0,1,15,0
552,0,0,4,0,0,1,12,0
553,0,1,3,0,0,6,17,0
554,1,1,1,5,64.49,6,19,0
555,0,1,1,1,71.99,0,11,0
556,0,1,1,3,146.97,4,21,1
557,0,1,3,1,64.99,5,19,0
558,0,1,1,1,72.99,7,16,0
559,1,1,2,1,65.49,7,22,1
560,0,1,3,0,0,6,16,0
561,1,1,1,1,73.99,3,22,0
562,0,0,2,1,221.97,2,15,0
563,0,0,2,1,37.99,6,12,1
564,1,0,1,2,50.49,0,5,0
565,0,1,3,0,0,4,19,0
566,0,1,3,0,0,4,24,0
567,0,1,2,2,185.97,2,21,1
568,0,0,3,0,0,0,1,1
569,0,0,1,0,0,0,15,0
570,0,1,1,3,229.96,2,16,0
571,1,0,1,1,50.49,0,10,0
572,0,1,2,0,0,0,11,0
573,0,1,2,1,71.99,1,14,0
574,0,0,1,1,51.99,7,10,0
575,0,1,2,4,67.99,2,17,0
576,0,1,3,4,71.99,2,17,0
577,0,1,3,0,0,7,15,0
578,0,1,3,0,0,6,20,1
579,1,1,1,5,109.98,0,16,0
580,0,0,2,0,0,2,12,1
581,1,1,3,2,54.99,4,20,1
582,0,0,3,2,40.99,5,14,0
583,0,1,5,0,0,7,14,1
584,1,0,1,0,0,0,7,1
585,0,1,2,1,139.98,1,16,0
586,1,1,1,6,47.99,0,23,0
587,1,1,1,2,119.98,4,14,0
588,0,1,2,0,0,4,20,0
589,0,1,5,0,0,3,24,0
590,0,1,1,0,0,0,21,0
591,0,1,3,2,55.99,2,23,1
592,1,1,1,0,0,5,12,0
593,0,0,1,2,117.98,3,19,0
594,0,1,3,0,0,4,20,1
595,0,1,1,2,64.99,4,20,0
596,0,0,1,3,51.99,4,1,0
597,0,0,3,3,95.98,1,13,0
598,0,0,4,2,63.99,7,14,0
599,1,1,1,9,65.99,3,16,0
600,0,0,1,5,69.99,1,2,0
601,1,1,1,3,63.99,3,23,0
602,0,0,2,0,0,1,6,1
603,0,1,3,1,72.49,5,17,0
604,0,1,3,0,0,3,18,0
605,0,1,2,3,291.96,5,18,0
606,0,1,2,0,0,3,17,0
607,0,1,3,1,53.99,1,14,1
608,1,0,1,4,55.99,6,11,0
609,0,0,3,2,56.99,0,10,0
610,0,0,2,0,0,0,9,0
611,0,1,3,2,129.98,0,26,1
612,0,1,1,2,248.97,4,19,0
613,0,0,2,1,49.99,2,2,1
614,1,0,1,0,0,2,4,0
615,0,1,2,2,46.99,5,16,0
616,0,0,2,2,115.98,0,10,0
617,0,0,1,1,54.99,6,5,0
618,0,1,5,3,66.99,4,16,0
619,1,1,1,3,263.96,0,26,0
620,0,1,1,0,0,0,18,0
621,0,0,2,3,61.99,0,3,0
622,0,0,1,4,65.49,1,9,0
623,0,0,2,8,69.99,0,9,0
624,0,1,3,1,52.49,1,21,1
625,1,0,1,2,81.99,4,7,1
626,1,1,1,3,50.99,6,10,1
627,0,1,3,3,62.99,6,17,0
628,0,0,3,2,103.98,0,4,1
629,0,0,3,0,0,1,18,0
630,0,1,3,1,58.99,4,19,0
631,1,1,1,4,243.96,5,20,0
632,1,1,1,2,73.99,2,14,0
633,0,0,2,0,0,1,12,0
634,0,0,1,0,0,1,2,1
635,0,1,2,1,52.99,3,24,0
636,0,0,1,4,61.99,5,2,0
637,0,1,1,6,46.99,0,22,1
638,0,1,3,5,84.99,7,18,0
639,0,1,1,2,60.49,2,14,0
640,0,1,3,5,54.49,0,13,0
641,0,0,1,1,37.99,5,11,0
642,0,0,2,1,70.99,2,21,0
643,0,1,1,0,0,1,19,0
644,0,0,2,5,121.98,1,1,1
645,0,1,2,1,54.49,5,30,0
646,0,1,3,3,63.99,3,20,0
647,0,1,1,0,0,6,23,0
648,0,0,2,3,129.98,4,19,0
649,0,1,3,1,66.99,7,22,0
650,1,1,1,1,121.98,4,8,0
651,0,0,2,0,0,4,11,1
652,0,1,1,0,0,4,24,0
653,1,1,1,13,132.98,3,13,0
654,0,0,1,0,0,0,2,0
655,0,1,3,10,61.49,4,17,0
656,0,1,2,6,57.49,5,13,0
657,0,1,3,9,115.98,2,20,1
658,0,0,2,4,283.96,0,2,0
659,1,0,1,0,0,4,10,0
660,1,1,3,1,70.99,3,17,0
661,0,1,3,0,0,4,19,0
662,0,1,2,0,0,3,20,0
663,0,1,1,3,58.49,1,27,0
664,0,1,3,0,0,0,22,0
665,0,0,3,1,139.47,2,7,0
666,0,1,1,0,0,2,24,0
667,0,1,3,0,0,0,8,0
668,0,1,2,3,50.49,0,18,0
669,0,1,1,2,82.49,5,26,0
670,0,0,1,1,206.97,5,6,1
671,1,0,1,1,46.99,4,15,0
672,0,0,3,0,0,4,12,1
673,0,0,1,0,0,7,8,0
674,0,0,1,2,58.99,2,8,0
675,0,0,2,0,0,2,6,1
676,0,1,3,3,182.97,4,16,1
677,0,0,1,3,74.99,4,16,0
678,0,1,2,0,0,3,19,1
679,0,0,3,10,59.99,4,3,0
680,0,1,3,0,0,5,12,1
681,0,1,1,0,0,5,12,0
682,1,0,1,0,0,4,13,0
683,0,0,3,4,46.99,0,1,0
684,0,1,2,1,72.49,6,15,1
685,0,1,3,5,65.99,4,24,0
686,0,1,4,1,53.99,1,12,1
687,0,1,3,1,64.49,4,12,0
688,0,1,3,1,65.99,4,21,0
689,0,0,2,0,0,7,2,0
690,0,1,4,0,0,5,18,0
691,0,0,1,0,0,2,13,1
692,0,0,2,3,53.49,4,6,1
693,1,0,1,1,53.99,6,16,0
694,0,1,3,1,50.99,1,21,0
695,1,1,2,0,0,3,17,0
696,0,0,2,0,0,0,13,1
697,0,1,2,0,0,2,20,0
698,0,1,3,0,0,4,16,0
699,1,1,1,0,0,3,17,0
700,0,1,2,3,62.99,1,8,0
701,0,1,3,0,0,4,13,0
702,1,0,1,1,68.99,1,3,1
703,0,1,3,0,0,1,21,0
704,0,1,3,0,0,0,19,0
705,0,1,1,2,136.98,6,24,0
706,0,1,2,2,93.98,0,17,0
707,0,0,3,0,0,3,12,1
708,0,0,1,1,84.99,7,13,1
709,0,0,5,0,0,1,11,1
710,0,1,3,3,141.98,0,9,0
711,0,1,3,2,135.98,1,12,0
712,0,1,2,0,0,1,23,0
713,1,1,1,7,75.99,4,9,0
714,1,1,3,0,0,6,21,0
715,0,1,5,0,0,1,18,0
716,0,1,2,1,57.99,0,15,0
717,0,1,3,1,65.99,5,20,0
718,0,1,1,2,66.49,5,14,0
719,0,0,3,0,0,7,5,0
720,0,1,3,7,52.49,7,18,0
